location,reference_date,horizon,target_end_date,target,output_type,output_type_id,value
athens,2026-05-09,0,2026-05-09,Flu ED visits pct,quantile,0.025,0.01757292573328531
austin,2026-05-09,0,2026-05-09,Flu ED visits pct,quantile,0.025,0.08693880538015605
baltimore,2026-05-09,0,2026-05-09,Flu ED visits pct,quantile,0.025,0.0684242762046542
bangor,2026-05-09,0,2026-05-09,Flu ED visits pct,quantile,0.025,0.019814067642786558
beaumont,2026-05-09,0,2026-05-09,Flu ED visits pct,quantile,0.025,0.04046270946113499
boston,2026-05-09,0,2026-05-09,Flu ED visits pct,quantile,0.025,0.11817851976071887
boulder,2026-05-09,0,2026-05-09,Flu ED visits pct,quantile,0.025,0.10330826650987449
charleston,2026-05-09,0,2026-05-09,Flu ED visits pct,quantile,0.025,0.0573483823666597
cherokee,2026-05-09,0,2026-05-09,Flu ED visits pct,quantile,0.025,0.019513944447853843
clt-area,2026-05-09,0,2026-05-09,Flu ED visits pct,quantile,0.025,0.4807681179639039
colorado,2026-05-09,0,2026-05-09,Flu ED visits pct,quantile,0.025,0.21723233550135138
colorado-springs,2026-05-09,0,2026-05-09,Flu ED visits pct,quantile,0.025,0.20576970321416113
columbia,2026-05-09,0,2026-05-09,Flu ED visits pct,quantile,0.025,0.03899706482086782
columbus,2026-05-09,0,2026-05-09,Flu ED visits pct,quantile,0.025,0.00478180601272263
dallas,2026-05-09,0,2026-05-09,Flu ED visits pct,quantile,0.025,0.09641418575327908
denver,2026-05-09,0,2026-05-09,Flu ED visits pct,quantile,0.025,0.2776769943072876
deschutes,2026-05-09,0,2026-05-09,Flu ED visits pct,quantile,0.025,0.06760802629552429
duluth,2026-05-09,0,2026-05-09,Flu ED visits pct,quantile,0.025,0.07179455459419508
el-paso,2026-05-09,0,2026-05-09,Flu ED visits pct,quantile,0.025,0.6657590588472593
eugene,2026-05-09,0,2026-05-09,Flu ED visits pct,quantile,0.025,0.01157922671730137
fay-area,2026-05-09,0,2026-05-09,Flu ED visits pct,quantile,0.025,0.5294579628692218
florence,2026-05-09,0,2026-05-09,Flu ED visits pct,quantile,0.025,0.01579054062125164
